Price,Close,High,Low,Open,Volume
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD
Date,,,,,
2025-12-17,32.42427444458008,32.48376610392136,31.036077727796638,32.28545552940808,786700
2025-12-18,32.354862213134766,33.37617595793914,32.26760299570827,32.72174128356902,864900
2025-12-19,32.880393981933594,34.12976796924439,32.30528652191169,32.37469597773275,1277500
2025-12-22,33.445587158203125,33.85212987440746,32.920057344764544,33.04896223991176,1109800
2025-12-23,33.455501556396484,34.417319816975905,33.415837933838446,33.415837933838446,1242000
2025-12-24,34.496646881103516,34.86352593151244,33.11836815595837,33.56457066853596,632900
2025-12-26,34.29833221435547,35.40888715150637,33.47532908008381,35.20065881001517,519400
2025-12-29,33.13819885253906,33.765864568292805,32.483764161201734,33.46541808947349,543700
2025-12-30,33.16794967651367,33.60423822585768,32.86056224110415,33.48525112740598,478900
2025-12-31,33.76288604736328,34.07027345633446,33.26710210016989,33.85212730915934,401800
2026-01-02,34.4768180847168,34.645382820647185,33.76288795011385,34.010779937680816,368100
2026-01-05,36.02366256713867,36.34195500642583,34.27850099605352,35.567538471779066,585800
2026-01-06,37.72916030883789,37.73907810670483,35.69644673725077,36.09307543623286,693100
2026-01-07,37.56059265136719,37.7787350145758,36.233873576735945,37.431687766836205,467500
2026-01-08,37.74898910522461,37.97704926502719,36.80699885732261,36.98548137934746,351900
2026-01-09,38.671146392822266,39.1470985099071,37.838229242291,37.88780687859607,569100
2026-01-12,42.46885681152344,43.05387826662486,40.049428609941735,40.62453983245919,1172900
2026-01-13,41.328548431396484,43.12328760772184,40.74947316814674,42.91505548378877,797300
2026-01-14,39.48423385620117,42.14163615643286,38.750475721342035,41.72517945003142,983900
2026-01-15,39.751956939697266,40.09900418886829,38.304268725253394,39.11735409405235,453200
2026-01-16,41.556610107421875,41.93836208065542,40.24774079557641,40.75343875502662,643700
2026-01-20,41.784671783447266,42.91406759028972,41.64585287905545,42.12180502948373,636700
2026-01-21,42.31019973754883,42.67708257755609,40.55512791386561,42.06230776688347,541300
2026-01-22,43.48025131225586,43.92645762797242,42.45893757602904,42.508515214990574,495400
2026-01-23,42.74649429321289,43.93637657200194,42.25071032559508,43.62898915036756,520900
2026-01-26,43.728145599365234,44.09800153846034,42.33995272245949,43.62899031620468,858300
2026-01-27,50.71870040893555,52.477740166825896,44.05536280398781,44.05536280398781,2113900
2026-01-28,53.534751892089844,55.16092262182747,51.561530132327384,51.858999741969164,1617100
2026-01-29,53.07862854003906,57.17380503104313,51.859000475484905,56.03350043166749,1837900
2026-01-30,51.41279602050781,52.87040209830989,49.66962016220422,50.67903786534445,1132700
2026-02-02,50.857521057128906,50.94676232391932,47.29779196576011,49.975026186941164,1190900
2026-02-03,52.25563049316406,52.76132847146304,50.361735904483986,52.424195225086564,865800
2026-02-04,51.04591751098633,53.12821247138073,49.70730229415043,52.582847073935724,704200
2026-02-05,49.925445556640625,50.84264895087702,48.586830316047866,48.75539505459041,634500
2026-02-06,54.853538513183594,57.14406183195326,50.2824096733297,52.39445045907672,1371000
